"","name","start_time","end_time","activity_time","finished","replication","waiting_time","total_time"
"1","Airplane0",0,6.1,6.1,TRUE,1,0,6.1
"2","Airplane1",23,75.34,52.34,TRUE,1,0,52.34
"3","Airplane2",45,119.12,74.12,TRUE,1,0,74.12
"4","Airplane4",84,153.12,34,TRUE,1,35.12,69.12
"5","Airplane3",62,154.89,79.55,TRUE,1,13.34,92.89
"6","Airplane5",103,188.43,35.31,TRUE,1,50.12,85.43
"7","Airplane7",147,233.6,45.17,TRUE,1,41.43,86.6
"8","Airplane6",123,237.74,82.85,TRUE,1,31.89,114.74
"9","Airplane8",170,269.55,35.95,TRUE,1,63.6,99.55
"10","Airplane9",194,276.46,38.72,TRUE,1,43.74,82.46
"11","Airplane11",229,283.68,7.22,TRUE,1,47.46,54.68
"12","Airplane12",254,299.77,16.09,TRUE,1,29.68,45.77
"13","Airplane10",216,321.46,51.91,TRUE,1,53.55,105.46
"14","Airplane14",292,331.02,9.56,TRUE,1,29.46,39.02
"15","Airplane15",320,341.91,10.89,TRUE,1,11.02,21.91
"16","Airplane16",339,349.31,7.4,TRUE,1,2.91,10.31
"17","Airplane17",362,365.74,3.74,TRUE,1,0,3.74
"18","Airplane18",385,387.94,2.94,TRUE,1,0,2.94
"19","Airplane13",271,415.63,115.86,TRUE,1,28.77,144.63
"20","Airplane19",408,432.02,24.02,TRUE,1,0,24.02
"21","Airplane20",432,472.77,40.77,TRUE,1,0,40.77
"22","Airplane22",475,479.42,4.42,TRUE,1,0,4.42
"23","Airplane21",458,529.59,71.59,TRUE,1,0,71.59
"24","Airplane23",499,535.11,36.11,TRUE,1,0,36.11
"25","Airplane25",545,559.64,14.64,TRUE,1,0,14.64
"26","Airplane26",561,591.2,30.2,TRUE,1,0,30.2
"27","Airplane27",581,599.45,8.25,TRUE,1,10.2,18.45
"28","Airplane24",527,609.73,80.14,TRUE,1,2.59,82.73
"29","Airplane28",607,649.64,42.64,TRUE,1,0,42.64
"30","Airplane29",632,660.1,28.1,TRUE,1,0,28.1
"31","Airplane30",656,678.79,22.79,TRUE,1,0,22.79
"32","Airplane31",686,707.01,21.01,TRUE,1,0,21.01
"33","Airplane32",704,728.17,24.17,TRUE,1,0,24.17
"34","Airplane34",742,743.28,1.28,TRUE,1,0,1.28
"35","Airplane35",755,763.83,8.83,TRUE,1,0,8.83
"36","Airplane33",721,766.98,45.98,TRUE,1,0,45.98
"37","Airplane37",805,815.97,10.97,TRUE,1,0,10.97
"38","Airplane36",786,831.98,45.98,TRUE,1,0,45.98
"39","Airplane38",828,848.24,20.24,TRUE,1,0,20.24
"40","Airplane40",877,879.58,2.58,TRUE,1,0,2.58
"41","Airplane39",855,897.27,42.27,TRUE,1,0,42.27
